,打率,出塁率,長打率,打数,得点,打点,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打,盗塁,犠飛,失策,防御率,先発防御率,救援防御率,ホールド,セーブ,完投,完封,投球回,失点,自責点,被安打,被本塁打,奪三振,与四球,与死球
阪神,0.247,0.322,0.352,4775,555,534,1180,883,179,34,84,-1173,494,57,106,79,47,-85,-2.66,-2.79,-2.39,130,45,10,6,1286.6,-424,-381,-1105,-88,1009,-315,-42
広島,0.246,0.304,0.357,4728,493,476,1165,854,197,18,96,-1032,349,48,96,78,20,-82,-3.2,-3.24,-3.14,122,46,9,7,1272.9,-508,-454,-1187,-109,975,-400,-43
DeNA,0.247,0.305,0.369,4783,520,503,1182,829,230,18,105,-846,355,56,106,33,31,-69,-3.16,-3.14,-3.19,119,42,10,3,1285.6,-496,-452,-1206,-118,1158,-359,-43
巨人,0.252,0.308,0.402,4826,523,511,1218,836,204,14,164,-1111,365,37,93,48,31,-54,-3.4,-3.16,-3.91,120,31,8,3,1275.4,-507,-482,-1117,-129,1075,-401,-64
ヤクルト,0.239,0.31,0.367,4712,534,509,1128,782,212,11,123,-1096,447,50,115,62,34,-70,-3.66,-3.95,-3.21,131,33,3,3,1264.4,-567,-516,-1215,-143,953,-382,-63
中日,0.234,0.285,0.326,4792,390,370,1123,847,186,19,71,-1029,306,39,92,36,22,-79,-3.08,-3.12,-2.99,142,37,4,2,1285.7,-498,-441,-1127,-76,1062,-445,-51
オリックス,0.25,0.311,0.369,4782,508,482,1194,857,211,17,109,-986,371,63,83,52,25,-60,-2.73,-2.61,-2.93,117,46,5,4,1288.6,-428,-391,-1097,-73,1155,-405,-54
ロッテ,0.239,0.311,0.354,4744,505,475,1135,803,220,12,100,-1011,453,62,116,73,39,-83,-3.4,-3.43,-3.27,134,45,1,0,1281.6,-524,-485,-1194,-101,1102,-412,-46
ソフトバンク,0.248,0.319,0.36,4786,536,513,1185,871,195,15,104,-1053,470,53,107,73,38,-52,-3.27,-3.63,-2.67,129,33,4,3,1277.8,-507,-465,-1121,-111,1068,-451,-62
楽天,0.244,0.321,0.358,4667,513,485,1140,843,168,25,104,-937,490,52,125,102,33,-82,-3.52,-3.66,-3.27,121,42,1,1,1267.5,-556,-496,-1206,-101,921,-440,-39
西武,0.233,0.296,0.34,4672,435,414,1088,789,188,21,90,-1045,387,45,90,80,28,-76,-2.94,-3,-2.81,98,35,10,5,1267.9,-465,-415,-1056,-95,1010,-511,-59
日ハム,0.231,0.297,0.344,4688,464,443,1082,769,195,18,100,-1111,397,54,84,75,25,-94,-3.08,-3.14,-2.97,99,29,8,4,1266.1,-496,-434,-1189,-106,942,-363,-50